국가,확진자,치료중,사망자,완치,치명(%),완치(%),발생률,인구수
바누아투,4,0,1,3,25,75,13,"307,145"
프랑스령 기아나,"26,647
(+197)","16,510
(+192)","142
(+5)","9,995",0.5,37.5,"89,215","298,682"
바베이도스,"4,045
(+2)",10,47,"3,988
(+2)",1.2,98.6,"14,076","287,375"
뉴칼레도니아,129,71,0,58,-,45.0,452,"285,498"
프랑스령 폴리네시아,"18,972
(+9)","25
(-9)",142,"18,805
(+18)",0.7,99.1,"67,538","280,908"
마요트,"19,389","16,251",174,"2,964",0.9,15.3,"71,070","272,815"
상투메 프린시페,"2,362",11,37,"2,314",1.6,98.0,"10,778","219,159"
사모아,3,0,0,3,-,100,15,"198,414"
세인트루시아,"5,218
(+2)","73
(-2)",80,"5,065
(+4)",1.5,97.1,"28,416","183,627"
퀴라소,"12,319
(+1)",33,125,"12,161
(+1)",1.0,98.7,"75,073","164,093"
미크로네시아,1,0,0,1,-,100,9,"115,023"
그레나다,161,0,1,160,0.6,99.4,"1,431","112,523"
세인트빈센트 그레나딘,"2,196
(+1)",248,12,"1,936
(+1)",0.5,88.2,"19,794","110,940"
아루바,"11,112
(+4)","30
(+2)",107,"10,975
(+2)",1.0,98.8,"104,078","106,766"
세이셸,"14,123","1,563",55,"12,505",0.4,88.5,"143,604","98,347"
앤티가 바부다,"1,263",0,42,"1,221",3.3,96.7,"12,897","97,929"
맨섬,"1,599",4,29,"1,566",1.8,97.9,"18,804","85,033"
안도라,"13,864",72,127,"13,665",0.9,98.6,"179,434","77,265"
도미니카 연방,191,2,0,189,-,99.0,"2,653","71,986"
케이맨 제도,"609
(+1)","20
(+1)",2,587,0.3,96.4,"9,266","65,722"
버뮤다,"2,504",10,33,"2,461",1.3,98.3,"40,207","62,278"
마셜 제도,4,0,0,4,-,100,68,"59,190"
그린란드,49,9,0,40,-,81.6,863,"56,770"
세인트키츠 네비스,"350
(+9)","273
(+8)","2
(+1)",75,0.6,21.4,"6,579","53,199"
페로 제도,"768
(+2)","12
(+2)",1,755,0.1,98.3,"15,717","48,863"
신트마르턴,"2,575
(+5)","56
(-5)",32,"2,487
(+10)",1.2,96.6,"60,057","42,876"
모나코,"2,549
(+1)","35
(-6)",33,"2,481
(+7)",1.3,97.3,"64,956","39,242"
터크스 케이커스 제도,"2,424",17,18,"2,389",0.7,98.6,"62,608","38,717"
세인트마틴 섬,"2,133",722,12,"1,399",0.6,65.6,"55,165","38,666"
리히텐슈타인,"3,028
(+2)",12,59,"2,957
(+2)",1.9,97.7,"79,417","38,128"
산마리노,"5,090",1,90,"4,999",1.8,98.2,"150,010","33,931"
지브롤터,"4,321",16,94,"4,211",2.2,97.5,"128,254","33,691"
영국령 버진아일랜드,248,38,1,209,0.4,84.3,"8,203","30,231"
카리브 네덜란드,"1,633
(+1)","14
(-2)",17,"1,602
(+3)",1.0,98.1,"62,274","26,223"
앵귈라,109,0,0,109,-,100,"7,265","15,003"
생바르텔레미,"1,005",542,1,462,0.1,46.0,"101,752","9,877"
세인트헬레나,2,0,0,2,-,100,329,"6,077"
생피에르 미클롱,26,1,0,25,-,96.2,"4,487","5,794"
몬트세랫,20,0,1,19,5,95,"4,006","4,992"
포클랜드 제도,63,0,0,63,-,100,"18,103","3,480"
바티칸 시국,27,0,0,27,-,100,"33,708",801
왈리스 퓌티나,445,0,7,438,1.6,98.4,-,-
잔담(크루즈,9,0,2,7,22.2,77.8,-,-
